ID,Sign Long,Sign Lat,Sign Alt,Angle,Distance,Retro,UTC
,-84.37637324,33.91175575,297.6976,0.10949,,0.671,62097.27073
,-84.37637309,33.91175576,297.1695,0.0992,,0.655,62097.27076
,-84.37637325,33.91175838,297.6355,0.10939,,0.757,62097.29735
,-84.37637298,33.91175834,297.1161,0.0991,,0.761,62097.29738
,-84.37637338,33.91175976,297.6109,0.10949,,0.757,62097.31065
,-84.3763729,33.91175962,297.0974,0.0992,,0.773,62097.31069
,-84.37637313,33.91176097,297.5798,0.10939,,0.761,62097.32396
,-84.37637311,33.91176104,297.0659,0.0991,,0.776,62097.324
,-84.37637274,33.91176211,297.5554,0.10939,,0.706,62097.33727
,-84.37637269,33.91176217,297.045,0.0991,,0.722,62097.33731
,-84.37650494,33.91183627,293.65,0.03733,,0.8,62097.48389
,-84.37650476,33.91183624,293.3287,0.02704,,0.8,62097.48392
,-84.3765048,33.91183631,293.0071,0.01674,,0.741,62097.48395
,-84.37650504,33.91183751,293.6436,0.03733,,0.8,62097.4972
,-84.37650497,33.91183753,293.326,0.02704,,0.796,62097.49723
,-84.37637388,33.91177861,297.1562,0.10948,,0.788,62097.51027
,-84.37650514,33.91183874,293.6402,0.03743,,0.8,62097.5105
,-84.37650506,33.91183876,293.3265,0.02714,,0.8,62097.51053
,-84.37650542,33.91184006,293.6303,0.03733,,0.8,62097.52381
,-84.37650539,33.9118401,293.3204,0.02703,,0.812,62097.52384
,-84.37650532,33.91184012,293.0107,0.01685,,0.808,62097.52387
,-84.37637489,33.91179327,297.6081,0.13006,,0.761,62097.6699
,-84.37637459,33.9117932,297.1956,0.11977,,0.765,62097.66993
,-84.37637499,33.91179568,297.9367,0.14025,,0.733,62097.69647
,-84.37637495,33.91179573,297.528,0.12996,,0.761,62097.69651
